rf,ef,ab,gb,Probability
0.025,0.025,0.496708,0.068591,0.080806647
0.045,0.055,0.496746,0.044038,0.040718741
0,0.005,0.494759,0.014154,0.011968341
0.04,0.05,0.496844,0.068407,0.067639933
0.23,0.08,0.497164,0.093812,0.108263859
0.02,0.005,0.495553,0.032544,0.027519732
0.09,0.06,0.495467,0.033131,0.04729395
0.105,0.095,0.494966,0.022931,0.041027039
0.01,0,0.492828,0.005484,0.00422303
0.261905,0.113333,0.499737,0.310901,0.37712881
0,0.005,0.49397,0.010007,0.012478593
0.02,0.185,0.494845,0.015238,0.022617611
0,0.005,0.493896,0.011472,0.008333931
0.075,0.03,0.496583,0.054017,0.043935965
0.045,0.025,0.496574,0.048755,0.047308764
0.01,0,0.494746,0.015182,0.024631906
0.015,0,0.495638,0.033255,0.027441388
0.005,0,0.494993,0.015125,0.013997746
0.315,0.32,0.497601,0.170918,0.222881693
0.095,0.06,0.496819,0.078294,0.091325029
0.005,0.015,0.494089,0.010682,0.012180794
0.01,0.005,0.494168,0.012458,0.009499758
0.005,0,0.493097,0.00686,0.011288653
0.52,0.455,0.500965,0.528552,0.514438462
0.075,0.085,0.49704,0.061378,0.085839337
0.01,0,0.495306,0.014994,0.017220625
0.06,0.135,0.496794,0.082179,0.085247596
0.005,0,0.494399,0.011509,0.008568926
0.02,0.01,0.496448,0.056767,0.055082258
0.035,0.025,0.495177,0.016209,0.032466807
0.05,0.12,0.496359,0.06474,0.047326418
0,0,0.49427,0.00951,0.008162568
0.01,0,0.495215,0.014916,0.013434981
0.07,0.025,0.496332,0.061773,0.055487671
0.46,0.325,0.498916,0.370678,0.331720175
0.105,0.06,0.496294,0.053772,0.050096943
0.035,0.02,0.495526,0.029022,0.032459991
0.015,0,0.49537,0.013405,0.022031783
0.005,0.01,0.494321,0.010824,0.010961839
0.06,0.025,0.496195,0.049121,0.073821936
0.44,0.48,0.499666,0.614502,0.287884333
0.25,0.29,0.499038,0.323558,0.245160209
0.125,0.04,0.496673,0.083418,0.076593354
0.005,0,0.493519,0.007065,0.006129752
0.005,0.02,0.49658,0.054989,0.045576883
0,0,0.493467,0.007098,0.004909608
0,0.025,0.493437,0.007098,0.006235339
0.015,0,0.494903,0.015962,0.020647961
0.015,0,0.495208,0.020754,0.01742812
0.01,0.065,0.496144,0.035056,0.02667599
0.025,0.03,0.495058,0.016444,0.017151702
0.035,0.125,0.495534,0.01451,0.024239212
0.01,0,0.493912,0.00931,0.008482681
0.025,0.01,0.496364,0.0611,0.044724311
0.01,0.025,0.494814,0.01744,0.017280897
0.06,0.04,0.497134,0.066073,0.074366364
0.005,0,0.493857,0.008576,0.009776008
0.275,0.07,0.497294,0.118182,0.178212766
0.06,0.115,0.49712,0.071615,0.080175127
0.065,0.155,0.496827,0.071813,0.061570061
0.015,0.01,0.494869,0.024602,0.030859558
0,0,0.493631,0.00981,0.011230419
0.02,0.02,0.495342,0.016322,0.029222439
0.01,0.005,0.493916,0.008165,0.008157194
0.07,0.255,0.494699,0.013354,0.019058966
0.02,0,0.495402,0.019706,0.01452435
0.01,0,0.494373,0.012756,0.012277612
0.245,0.04375,0.49765,0.115479,0.151081983
0,0,0.493769,0.008436,0.005728414
0.545,0.66,0.500821,0.641439,0.653720377
0,0.005,0.495148,0.020177,0.019032413
0.085,0,0.497543,0.102589,0.121704726
0,0,0.493666,0.008457,0.007328554
0.26,0.125,0.498149,0.170552,0.174704384
0.01,0.065,0.494806,0.015628,0.015734037
0.04,0.04,0.495389,0.03645,0.043413121
0.115,0.06,0.496855,0.072459,0.084293499
0.04,0.025,0.496002,0.033518,0.028663334
0.105,0.43,0.495799,0.015829,0.041008401
0.02,0.015,0.495055,0.016764,0.018661901
0,0,0.495113,0.016497,0.01602504
0.005,0.005,0.494561,0.014114,0.019722179
0.04,0.04,0.495709,0.025713,0.045850402
0.005,0,0.493746,0.009067,0.011839708
0.005,0.015,0.494847,0.016767,0.018839962
0,0.02,0.494906,0.014271,0.012724313
0.055,0.01,0.495909,0.045087,0.075973855
0,0,0.494922,0.013336,0.013782852
0.03,0,0.495664,0.029478,0.028947297
0.02,0,0.495326,0.017727,0.029213575
0.105,0.115,0.496224,0.049491,0.077168578
0,0,0.494918,0.01704,0.013152974
0.02,0.015,0.494219,0.010089,0.012285798
0.095,0.025,0.494914,0.015459,0.015793473
0.015,0.005,0.493455,0.006827,0.006885334
0.28,0.31,0.497128,0.135953,0.241597348
0.035,0.065,0.495933,0.034201,0.025462508
0.085,0.02,0.496488,0.076082,0.070294751
0,0,0.494398,0.012307,0.014292691
0.025,0.005,0.494791,0.013971,0.019090285
0.05,0.105,0.496291,0.058918,0.05616512
0.095,0.17,0.497028,0.071126,0.072471986
0,0,0.49401,0.009285,0.007191891
0.04,0.02,0.496394,0.063227,0.058808121
0.19,0.34,0.496414,0.07473,0.086554757
0.025,0.05,0.495657,0.025516,0.022156116
0.25,0.29,0.499363,0.321678,0.335596417
0.065,0.075,0.49458,0.01368,0.017955356
0,0,0.493314,0.008467,0.00656427
0.03,0.01,0.495309,0.018519,0.020557379
0.025,0.015,0.495422,0.018999,0.037893824
0.045,0.08,0.4952,0.025611,0.025000037
0.02,0,0.49565,0.021046,0.023940023
0.565,0.5,0.500022,0.55596,0.44122483
0.12,0.045,0.497051,0.087001,0.096671598
0.005,0.025,0.494154,0.010272,0.011400188
0,0,0.493004,0.005902,0.004915471
0.035,0,0.496842,0.083061,0.081307156
0.01,0.005,0.49499,0.012615,0.013133488
0,0,0.493699,0.010159,0.00729177
0,0,0.494398,0.012034,0.007030134
0.09,0.08,0.496938,0.063078,0.050312876
0,0,0.494561,0.012593,0.012895201
0.435,0.445,0.500026,0.500459,0.545554466
0,0,0.493873,0.009407,0.012196881
0.015,0.02,0.494784,0.014468,0.031859291
0,0.005,0.493407,0.007211,0.010082404
0,0.005,0.494591,0.014732,0.015968269
0,0,0.493613,0.007843,0.010547365
0.04,0.115,0.496367,0.062162,0.042098549
0.02,0.01,0.495417,0.027732,0.03065558
0.08,0.07,0.496867,0.073829,0.072623318
0.025,0.045,0.493222,0.007703,0.015207698
0.25,0.27,0.495324,0.045165,0.102067698
0.225,0.195,0.496309,0.099337,0.162120186
0.005,0,0.494018,0.010309,0.008870409
0.295,0.185,0.498269,0.198473,0.180322786
0.05,0.03,0.496011,0.03182,0.035705584
0,0,0.493626,0.008512,0.008372807
0,0.205,0.494619,0.013017,0.014152684
0,0,0.49338,0.0067,0.00487674
0.01,0,0.494923,0.014819,0.0129789
0,0,0.493585,0.007232,0.007195812
0.005,0.005,0.495391,0.01495,0.019060106
0.31,0.27,0.499055,0.363201,0.31236373
0,0,0.49447,0.012179,0.012208984
0,0,0.493649,0.007211,0.007954929
0.12,0.1,0.496932,0.093291,0.113018534
0,0,0.493607,0.007571,0.006613179
0.025,0.085,0.496503,0.047954,0.038905925
0,0,0.493418,0.007405,0.004953994
0,0.01,0.494373,0.012082,0.016596703
0,0,0.494021,0.010073,0.007244769
0,0,0.494358,0.014021,0.011761333
0.015,0,0.494693,0.015318,0.013135498
0.005,0.045,0.4956,0.018545,0.015859099
0.05,0.025,0.49677,0.041733,0.062242319
0.005,0,0.493908,0.00853,0.006828061
0.125,0.01,0.496977,0.104115,0.115281739
0.025,0,0.495518,0.019062,0.019456605
0.01,0.005,0.493295,0.006819,0.004774996
0.005,0.01,0.494133,0.010215,0.013014198
0,0,0.494653,0.016812,0.013302352
0.045,0.03,0.496183,0.057855,0.05067716
0.02,0.05,0.494298,0.011914,0.01178543
0.025,0.07,0.495126,0.023032,0.018627577
0.77,0.675,0.500428,0.501843,0.603644444
0.005,0.025,0.494924,0.021936,0.028335898
0.19,0.17,0.498118,0.223713,0.182249257
0,0.005,0.494659,0.010551,0.010877284
0,0,0.493312,0.0067,0.005903954
0.02,0.01,0.495407,0.014557,0.014178757
0.005,0,0.494491,0.015036,0.016521613
0.015,0.005,0.496012,0.049239,0.04270116
0.01,0,0.494932,0.013399,0.01399481
0.48,0.355,0.498363,0.333347,0.33577098
0.13,0.055,0.495118,0.016252,0.015279325
0.205,0.125,0.497255,0.090645,0.091934202
0.015,0.01,0.494517,0.011195,0.00996045
0.015,0.02,0.494071,0.008736,0.009930648
0.065,0.065,0.495679,0.031399,0.053142063
0,0,0.493967,0.010534,0.008513427
0.035,0.005,0.494938,0.019595,0.031499273
0.02,0.03,0.494584,0.01264,0.016052208
0.155,0.065,0.497864,0.121076,0.109559206
0,0,0.494786,0.015511,0.010307879
0.01,0,0.494032,0.010158,0.010695251
0.01,0.035,0.495638,0.03318,0.029688926
0.055,0.01,0.495979,0.052152,0.085581359
0.025,0.02,0.495247,0.019381,0.024680316
0.05,0.055,0.495035,0.015014,0.021472605
0.06,0.005,0.495799,0.043917,0.035231771
0.01,0.02,0.494634,0.014662,0.018610097
0.075,0,0.496587,0.0572,0.059893893
0,0,0.494936,0.012336,0.019240018
0.03,0.035,0.495692,0.032829,0.035379639
0.02,0.005,0.493969,0.009762,0.010994793
0,0,0.494308,0.010234,0.014978023
0,0,0.494199,0.010416,0.009027653
0.01,0.015,0.493829,0.00746,0.006340587
0.09,0.045,0.496705,0.064269,0.05923435
0.05,0.015,0.495166,0.024312,0.032690544
0.51,0.535,0.499147,0.413264,0.322638404
0.065,0.045,0.495682,0.039836,0.051448445
0.035,0,0.495703,0.025918,0.056183645
0,0,0.494199,0.010966,0.005785579
0.03,0.015,0.4952,0.020745,0.023592812
0,0,0.493539,0.005803,0.005711902
0.07,0.06,0.497054,0.079545,0.065824825
0,0,0.493681,0.007098,0.006658763
0.055,0.01,0.497554,0.106097,0.114646139
0,0,0.495493,0.028345,0.018043047
0.045,0.005,0.494995,0.01562,0.014078294
0.01,0.005,0.493772,0.00907,0.012951583
0.005,0,0.494992,0.020057,0.020744523
0.03,0,0.496577,0.071018,0.066124929
0,0,0.49398,0.00918,0.010610732
0.135,0.115,0.496997,0.078568,0.088757132
0.005,0,0.494955,0.015073,0.018651782
0,0,0.493514,0.007211,0.00492112
0.005,0.005,0.49487,0.01663,0.013219807
0,0.01,0.493921,0.008689,0.015396718
0.02,0.01,0.494797,0.01619,0.01445175
0.005,0.005,0.494525,0.013036,0.012155979
0.005,0,0.494063,0.010203,0.008563725
0.075,0.08,0.496935,0.0723,0.072452991
0,0,0.493967,0.010469,0.011432132
0.035,0.03,0.496699,0.061437,0.063680277
0.215,0.155,0.496657,0.068262,0.074290148
0.49,0.325,0.500703,0.448338,0.360946339
0.355,0.48,0.497757,0.199271,0.329485955
0.005,0.02,0.494371,0.012832,0.011390368
0.01,0.015,0.494232,0.011664,0.010744189
0.035,0.005,0.494403,0.01262,0.016328064
0.005,0,0.493155,0.006091,0.006040839
0.245,0.275,0.498116,0.171163,0.230264954
0.35,0.07,0.496181,0.045749,0.110090581
0,0,0.493681,0.007098,0.006982921
0,0,0.49457,0.013665,0.025481194
0,0,0.494967,0.017018,0.013949129
0.03,0.03,0.495866,0.052517,0.039749013
0.01,0.01,0.494587,0.012594,0.012510505
0,0,0.493709,0.007744,0.004965336
0.005,0,0.495231,0.024788,0.026009782
0.045,0.025,0.497005,0.082974,0.064972925
0.005,0.01,0.494473,0.011663,0.015880071
0.015,0.015,0.496245,0.036755,0.034946796
0,0,0.49339,0.0071,0.008479275
0.025,0.01,0.495118,0.019105,0.033289755
0.275,0.27,0.498654,0.30081,0.253235361
0,0,0.495228,0.027084,0.04156246
0.36,0.265,0.498341,0.238655,0.293532137
0,0,0.493589,0.007355,0.006343065
0.185,0.275,0.496732,0.081458,0.115271597
0,0,0.493798,0.006073,0.012758934
0,0,0.494606,0.011335,0.011066135
0.07,0.015,0.495557,0.037983,0.033059163
0.12,0.14,0.497441,0.147055,0.187257851
0.02,0.05,0.49571,0.044174,0.052559231
0.31,0.255,0.497204,0.112511,0.098766087
0.005,0.005,0.494013,0.013142,0.012026124
0,0.02,0.494822,0.019306,0.014157887
0,0,0.493528,0.00761,0.008488141
0.025,0.02,0.496579,0.066346,0.050881784
0.06,0.035,0.496757,0.072107,0.061902216
0,0.005,0.494678,0.015866,0.011423465
0.055,0.08,0.497147,0.070175,0.056206063
0.03,0.01,0.49637,0.050195,0.03929097
0.23,0.215,0.498067,0.180961,0.250264915
0,0,0.493699,0.008799,0.005504501
0.01,0,0.495285,0.031144,0.024206718
0.055,0.03,0.496226,0.047873,0.059115541
0,0,0.493813,0.008913,0.008758994
0.015,0.01,0.494617,0.014236,0.012360332
0,0,0.493366,0.007963,0.008262482
0.015,0.005,0.495385,0.028255,0.014923023
0,0,0.494348,0.0167,0.019041141
0.015,0,0.494162,0.01007,0.006634439
0.045,0.02,0.496549,0.063304,0.083755649
0.005,0.005,0.495674,0.029185,0.022402862
0.58,0.63,0.501277,0.760352,0.559405514
0.055,0.035,0.49596,0.03736,0.060731695
0.095,0.08,0.496882,0.055994,0.057062296
0,0,0.494823,0.015186,0.011726681
0.03,0.02,0.494087,0.009234,0.012078154
0,0,0.494366,0.01183,0.010583196
0,0.03,0.49416,0.012795,0.015992301
0.03,0.085,0.495915,0.034503,0.02941612
0.095,0.015,0.496722,0.06464,0.051804347
0.055,0.04,0.496689,0.074909,0.073197194
0.345,0.225,0.499082,0.216592,0.379936556
0.005,0,0.493699,0.007811,0.012346853
0.01,0.035,0.495927,0.035705,0.022928971
0.005,0,0.494488,0.013327,0.009905709
0,0,0.493668,0.007238,0.005059849
0.025,0.09,0.495335,0.024252,0.021675073
0.005,0,0.49496,0.012312,0.010205165
0.02,0.005,0.495625,0.030972,0.021323672
0,0,0.493533,0.006873,0.005435615
0,0,0.493928,0.008593,0.005211346
0.025,0.17,0.496641,0.057206,0.076808552
0.005,0,0.49386,0.010159,0.005700983
0.02,0.005,0.493968,0.01085,0.013611788
0.085,0.13,0.494064,0.010653,0.028595408
0.28,0.2,0.499903,0.428014,0.433764529
0.025,0.01,0.495429,0.023482,0.028096412
0,0,0.493499,0.007098,0.011689817
0.635669,0.666667,0.499737,0.213612,0.34324583
0.32,0.235,0.498574,0.288354,0.221798578
0.005,0,0.494329,0.010837,0.018021049
0.635,0.635,0.500136,0.483119,0.479506716
0.04,0.02,0.494592,0.01847,0.024323761
0.29,0.19,0.498595,0.252073,0.319798545
0.05,0.065,0.495736,0.038059,0.049012752
0.065,0.06,0.496243,0.047308,0.040883188
0.11,0.11,0.497147,0.086155,0.069337937
0.345,0.585,0.498526,0.279935,0.273799023
0,0.01,0.493979,0.008846,0.005742148
0.02,0,0.494111,0.008683,0.01718744
0.085,0.005,0.496972,0.093822,0.075160665
0.185,0.05,0.496323,0.089612,0.110848661
0.015,0.01,0.494582,0.011949,0.014251214
0.01,0.025,0.494463,0.012122,0.010543782
0,0.01,0.493797,0.009993,0.00897121
0.15,0.14,0.496517,0.062195,0.092984793
0,0,0.493878,0.009045,0.009843914
0.015,0,0.495068,0.013019,0.013486765
0.015,0,0.494285,0.009032,0.011503532
0.025,0.02,0.495179,0.01809,0.030896799
0,0,0.49413,0.009373,0.007627516
0.01,0.07,0.494628,0.014093,0.013995298
0.005,0.005,0.49499,0.015422,0.012392735
0.01,0.02,0.49436,0.010998,0.014851905
0.05,0.005,0.495317,0.028428,0.042361306
0.025,0.05,0.495164,0.027202,0.035615628
0.025,0.015,0.496222,0.051589,0.045109712
0,0.005,0.494925,0.014844,0.01796101
0.545,0.55,0.497605,0.203575,0.310539815
0.085,0.025,0.495496,0.025095,0.050498404
0.005,0,0.494602,0.012493,0.016472188
0,0,0.493038,0.005854,0.004224893
0.025,0,0.494721,0.014964,0.016979973
0.02,0,0.494876,0.014836,0.016909946
0.055,0.045,0.495911,0.041907,0.048486474
0.085,0.045,0.494868,0.019501,0.03927387
0.01,0.015,0.495228,0.021961,0.020698259
0.415,0.315,0.498768,0.39877,0.389379418
0.085,0.15,0.49729,0.110762,0.12481446
0.025,0,0.495091,0.017271,0.016493083
0.005,0,0.494126,0.010074,0.013625027
0.08,0.055,0.495797,0.061313,0.074640802
0.045,0.025,0.49655,0.041114,0.048047405
0,0,0.492911,0.005941,0.004319469
0.085,0.055,0.497548,0.120405,0.091575442
0.01,0,0.494063,0.010781,0.019212319
0,0,0.493582,0.007727,0.009155312
0.655,0.57,0.502161,0.679857,0.612740601
0,0.005,0.493542,0.007126,0.006611103
