rf,ef,ab,gb
0.025000,0.025000,0.496708,0.068591
0.045000,0.055000,0.496746,0.044038
0.000000,0.005000,0.494759,0.014154
0.040000,0.050000,0.496844,0.068407
0.230000,0.080000,0.497164,0.093812
0.020000,0.005000,0.495553,0.032544
0.090000,0.060000,0.495467,0.033131
0.105000,0.095000,0.494966,0.022931
0.010000,0.000000,0.492828,0.005484
0.261905,0.113333,0.499737,0.310901
0.000000,0.005000,0.493970,0.010007
0.020000,0.185000,0.494845,0.015238
0.000000,0.005000,0.493896,0.011472
0.075000,0.030000,0.496583,0.054017
0.045000,0.025000,0.496574,0.048755
0.010000,0.000000,0.494746,0.015182
0.015000,0.000000,0.495638,0.033255
0.005000,0.000000,0.494993,0.015125
0.315000,0.320000,0.497601,0.170918
0.095000,0.060000,0.496819,0.078294
0.005000,0.015000,0.494089,0.010682
0.010000,0.005000,0.494168,0.012458
0.005000,0.000000,0.493097,0.006860
0.520000,0.455000,0.500965,0.528552
0.075000,0.085000,0.497040,0.061378
0.010000,0.000000,0.495306,0.014994
0.060000,0.135000,0.496794,0.082179
0.005000,0.000000,0.494399,0.011509
0.020000,0.010000,0.496448,0.056767
0.035000,0.025000,0.495177,0.016209
0.050000,0.120000,0.496359,0.064740
0.000000,0.000000,0.494270,0.009510
0.010000,0.000000,0.495215,0.014916
0.070000,0.025000,0.496332,0.061773
0.460000,0.325000,0.498916,0.370678
0.105000,0.060000,0.496294,0.053772
0.035000,0.020000,0.495526,0.029022
0.015000,0.000000,0.495370,0.013405
0.005000,0.010000,0.494321,0.010824
0.060000,0.025000,0.496195,0.049121
0.440000,0.480000,0.499666,0.614502
0.250000,0.290000,0.499038,0.323558
0.125000,0.040000,0.496673,0.083418
0.005000,0.000000,0.493519,0.007065
0.005000,0.020000,0.496580,0.054989
0.000000,0.000000,0.493467,0.007098
0.000000,0.025000,0.493437,0.007098
0.015000,0.000000,0.494903,0.015962
0.015000,0.000000,0.495208,0.020754
0.010000,0.065000,0.496144,0.035056
0.025000,0.030000,0.495058,0.016444
0.035000,0.125000,0.495534,0.014510
0.010000,0.000000,0.493912,0.009310
0.025000,0.010000,0.496364,0.061100
0.010000,0.025000,0.494814,0.017440
0.060000,0.040000,0.497134,0.066073
0.005000,0.000000,0.493857,0.008576
0.275000,0.070000,0.497294,0.118182
0.060000,0.115000,0.497120,0.071615
0.065000,0.155000,0.496827,0.071813
0.015000,0.010000,0.494869,0.024602
0.000000,0.000000,0.493631,0.009810
0.020000,0.020000,0.495342,0.016322
0.010000,0.005000,0.493916,0.008165
0.070000,0.255000,0.494699,0.013354
0.020000,0.000000,0.495402,0.019706
0.010000,0.000000,0.494373,0.012756
0.245000,0.043750,0.497650,0.115479
0.000000,0.000000,0.493769,0.008436
0.545000,0.660000,0.500821,0.641439
0.000000,0.005000,0.495148,0.020177
0.085000,0.000000,0.497543,0.102589
0.000000,0.000000,0.493666,0.008457
0.260000,0.125000,0.498149,0.170552
0.010000,0.065000,0.494806,0.015628
0.040000,0.040000,0.495389,0.036450
0.115000,0.060000,0.496855,0.072459
0.040000,0.025000,0.496002,0.033518
0.105000,0.430000,0.495799,0.015829
0.020000,0.015000,0.495055,0.016764
0.000000,0.000000,0.495113,0.016497
0.005000,0.005000,0.494561,0.014114
0.040000,0.040000,0.495709,0.025713
0.005000,0.000000,0.493746,0.009067
0.005000,0.015000,0.494847,0.016767
0.000000,0.020000,0.494906,0.014271
0.055000,0.010000,0.495909,0.045087
0.000000,0.000000,0.494922,0.013336
0.030000,0.000000,0.495664,0.029478
0.020000,0.000000,0.495326,0.017727
0.105000,0.115000,0.496224,0.049491
0.000000,0.000000,0.494918,0.017040
0.020000,0.015000,0.494219,0.010089
0.095000,0.025000,0.494914,0.015459
0.015000,0.005000,0.493455,0.006827
0.280000,0.310000,0.497128,0.135953
0.035000,0.065000,0.495933,0.034201
0.085000,0.020000,0.496488,0.076082
0.000000,0.000000,0.494398,0.012307
0.025000,0.005000,0.494791,0.013971
0.050000,0.105000,0.496291,0.058918
0.095000,0.170000,0.497028,0.071126
0.000000,0.000000,0.494010,0.009285
0.040000,0.020000,0.496394,0.063227
0.190000,0.340000,0.496414,0.074730
0.025000,0.050000,0.495657,0.025516
0.250000,0.290000,0.499363,0.321678
0.065000,0.075000,0.494580,0.013680
0.000000,0.000000,0.493314,0.008467
0.030000,0.010000,0.495309,0.018519
0.025000,0.015000,0.495422,0.018999
0.045000,0.080000,0.495200,0.025611
0.020000,0.000000,0.495650,0.021046
0.565000,0.500000,0.500022,0.555960
0.120000,0.045000,0.497051,0.087001
0.005000,0.025000,0.494154,0.010272
0.000000,0.000000,0.493004,0.005902
0.035000,0.000000,0.496842,0.083061
0.010000,0.005000,0.494990,0.012615
0.000000,0.000000,0.493699,0.010159
0.000000,0.000000,0.494398,0.012034
0.090000,0.080000,0.496938,0.063078
0.000000,0.000000,0.494561,0.012593
